id,checking,credit_usage,credit_history,purpose,current_balance,savings,employment,location,personal_status,other_parties,residence_since,property_magnitude,cc_age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
189,x<0,12,existing paid,radio/tv,674,100<=x<500,4<=x<7,4,male mar/wid,none,1,life insurance,20,none,own,1,skilled,1,none,yes,bad
190,0<=x<200,18,no credits/all paid,furniture/equipment,3244,x<100,1<=x<4,1,female div/dep/mar,none,4,car,33,bank,own,2,skilled,1,yes,yes,good
191,no checking,24,existing paid,business,4591,x>=1000,1<=x<4,2,male single,none,3,life insurance,54,none,own,3,high qualif/self emp/mgmt,1,yes,yes,bad
192,0<=x<200,48,no credits/all paid,business,3844,100<=x<500,4<=x<7,4,male single,none,4,no known property,34,none,for free,1,unskilled resident,2,none,yes,bad
193,0<=x<200,27,existing paid,business,3915,x<100,1<=x<4,4,male single,none,2,car,36,none,own,1,skilled,2,yes,yes,bad
194,no checking,6,existing paid,radio/tv,2108,x<100,4<=x<7,2,male mar/wid,none,2,real estate,29,none,rent,1,skilled,1,none,yes,good
195,0<=x<200,45,existing paid,radio/tv,3031,100<=x<500,1<=x<4,4,male single,guarantor,4,life insurance,21,none,rent,1,skilled,1,none,yes,bad
196,0<=x<200,9,critical/other existing credit,education,1501,x<100,x>=7,2,female div/dep/mar,none,3,car,34,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
197,no checking,6,critical/other existing credit,radio/tv,1382,x<100,1<=x<4,1,female div/dep/mar,none,1,car,28,none,own,2,skilled,1,yes,yes,good
198,0<=x<200,12,existing paid,furniture/equipment,951,100<=x<500,x<1,4,female div/dep/mar,none,4,car,27,bank,rent,4,skilled,1,none,yes,bad
199,0<=x<200,24,existing paid,used car,2760,no known savings,x>=7,4,male single,none,4,no known property,36,bank,for free,1,skilled,1,yes,yes,good
200,0<=x<200,18,delayed previously,furniture/equipment,4297,x<100,x>=7,4,male div/sep,none,3,no known property,40,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
201,no checking,9,critical/other existing credit,education,936,500<=x<1000,x>=7,4,male single,none,2,car,52,none,own,2,skilled,1,yes,yes,good
202,x<0,12,existing paid,new car,1168,x<100,1<=x<4,4,male mar/wid,none,3,real estate,27,none,own,1,unskilled resident,1,none,yes,good
203,no checking,27,delayed previously,business,5117,x<100,4<=x<7,3,male single,none,4,car,26,none,own,2,skilled,1,none,yes,good
204,x<0,12,existing paid,retraining,902,x<100,4<=x<7,4,male mar/wid,none,4,life insurance,21,none,rent,1,skilled,1,none,yes,bad
205,no checking,12,critical/other existing credit,new car,1495,x<100,x>=7,4,male single,none,1,real estate,38,none,own,2,unskilled resident,2,none,yes,good
206,x<0,30,critical/other existing credit,used car,10623,x<100,x>=7,3,male single,none,4,no known property,38,none,for free,3,high qualif/self emp/mgmt,2,yes,yes,good
207,no checking,12,critical/other existing credit,furniture/equipment,1935,x<100,x>=7,4,male single,none,4,real estate,43,none,own,3,skilled,1,yes,yes,good
208,0<=x<200,12,critical/other existing credit,domestic appliance,1424,x<100,4<=x<7,4,male single,none,3,life insurance,26,none,own,1,skilled,1,none,yes,good
209,x<0,24,existing paid,business,6568,x<100,1<=x<4,2,male mar/wid,none,2,car,21,stores,own,1,unskilled resident,1,none,yes,good
210,no checking,12,existing paid,used car,1413,x>=1000,4<=x<7,3,male single,none,2,life insurance,55,none,own,1,skilled,1,none,no,good
211,no checking,9,critical/other existing credit,radio/tv,3074,no known savings,1<=x<4,1,male single,none,2,real estate,33,none,own,2,skilled,2,none,yes,good
212,no checking,36,existing paid,radio/tv,3835,no known savings,x>=7,2,female div/dep/mar,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes,good
213,x<0,27,no credits/all paid,business,5293,x<100,unemployed,2,male single,none,4,life insurance,50,stores,own,2,skilled,1,yes,yes,bad
214,x>=200,30,delayed previously,business,1908,x<100,x>=7,4,male single,none,4,real estate,66,none,own,1,high qualif/self emp/mgmt,1,yes,yes,bad
215,no checking,36,critical/other existing credit,radio/tv,3342,no known savings,x>=7,4,male single,none,2,car,51,none,own,1,skilled,1,yes,yes,good
216,0<=x<200,6,critical/other existing credit,retraining,932,no known savings,4<=x<7,1,female div/dep/mar,none,3,life insurance,39,none,own,2,unskilled resident,1,none,yes,good
217,x<0,18,no credits/all paid,business,3104,x<100,4<=x<7,3,male single,none,1,life insurance,31,bank,own,1,skilled,1,yes,yes,good
218,x>=200,36,existing paid,radio/tv,3913,x<100,1<=x<4,2,male single,none,2,real estate,23,none,own,1,skilled,1,yes,yes,good
219,x<0,24,existing paid,furniture/equipment,3021,x<100,1<=x<4,2,male div/sep,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,good
220,no checking,10,existing paid,new car,1364,x<100,1<=x<4,2,female div/dep/mar,none,4,car,64,none,own,1,skilled,1,yes,yes,good
221,0<=x<200,12,existing paid,radio/tv,625,x<100,x<1,4,male mar/wid,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,yes,good
222,x<0,12,existing paid,education,1200,no known savings,1<=x<4,4,female div/dep/mar,none,4,life insurance,23,bank,rent,1,skilled,1,yes,yes,good
223,no checking,12,existing paid,radio/tv,707,x<100,1<=x<4,4,male single,none,2,real estate,30,bank,own,2,skilled,1,none,yes,good
224,no checking,24,delayed previously,business,2978,no known savings,1<=x<4,4,male single,none,4,real estate,32,none,own,2,skilled,2,yes,yes,good
225,no checking,15,existing paid,used car,4657,x<100,1<=x<4,3,male single,none,2,car,30,none,own,1,skilled,1,yes,yes,good
226,no checking,36,no credits/all paid,repairs,2613,x<100,1<=x<4,4,male single,none,2,car,27,none,own,2,skilled,1,none,yes,good
227,0<=x<200,48,existing paid,radio/tv,10961,x>=1000,4<=x<7,1,male single,co applicant,2,no known property,27,bank,own,2,skilled,1,yes,yes,bad
228,x<0,12,existing paid,furniture/equipment,7865,x<100,x>=7,4,male single,none,4,no known property,53,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,bad
229,no checking,9,existing paid,radio/tv,1478,x<100,4<=x<7,4,male single,none,2,car,22,none,own,1,skilled,1,none,yes,bad
230,x<0,24,existing paid,furniture/equipment,3149,x<100,x<1,4,male single,none,1,no known property,22,bank,for free,1,skilled,1,none,yes,good
231,x>=200,36,existing paid,radio/tv,4210,x<100,1<=x<4,4,male single,none,2,car,26,none,own,1,skilled,1,none,yes,bad
232,no checking,9,existing paid,new car,2507,500<=x<1000,x>=7,2,male single,none,4,no known property,51,none,for free,1,unskilled resident,1,none,yes,good
233,no checking,12,existing paid,radio/tv,2141,100<=x<500,4<=x<7,3,male single,none,1,no known property,35,none,own,1,skilled,1,none,yes,good
234,0<=x<200,18,existing paid,radio/tv,866,x<100,1<=x<4,4,male mar/wid,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes,good
235,no checking,4,critical/other existing credit,radio/tv,1544,x<100,4<=x<7,2,male single,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,good
236,x<0,24,existing paid,radio/tv,1823,x<100,unemployed,4,male single,none,2,car,30,stores,own,1,high qualif/self emp/mgmt,2,none,yes,bad
237,0<=x<200,6,existing paid,new car,14555,no known savings,unemployed,1,male single,none,2,life insurance,23,none,own,1,unemp/unskilled non res,1,yes,yes,bad
238,0<=x<200,21,existing paid,business,2767,100<=x<500,x>=7,4,male div/sep,none,2,car,61,bank,rent,2,unskilled resident,1,none,yes,bad
239,no checking,12,critical/other existing credit,radio/tv,1291,x<100,1<=x<4,4,female div/dep/mar,none,2,life insurance,35,none,own,2,skilled,1,none,yes,good
240,x<0,30,existing paid,radio/tv,2522,x<100,x>=7,1,male single,guarantor,3,life insurance,39,none,own,1,skilled,2,none,yes,good
241,x<0,24,existing paid,new car,915,no known savings,x>=7,4,female div/dep/mar,none,2,car,29,bank,own,1,skilled,1,none,yes,bad
242,no checking,6,existing paid,radio/tv,1595,x<100,4<=x<7,3,male single,none,2,life insurance,51,none,own,1,skilled,2,none,yes,good
243,x<0,48,no credits/all paid,used car,4605,x<100,x>=7,3,male single,none,4,no known property,24,none,for free,2,skilled,2,none,yes,bad
244,no checking,12,critical/other existing credit,business,1185,x<100,1<=x<4,3,female div/dep/mar,none,2,real estate,27,none,own,2,skilled,1,none,yes,good
245,no checking,12,all paid,retraining,3447,500<=x<1000,1<=x<4,4,female div/dep/mar,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes,good
246,no checking,24,existing paid,business,1258,x<100,4<=x<7,4,male single,none,1,real estate,25,none,own,1,skilled,1,yes,yes,good
247,no checking,12,critical/other existing credit,radio/tv,717,x<100,x>=7,4,male single,none,4,real estate,52,none,own,3,skilled,1,none,yes,good
248,no checking,6,no credits/all paid,new car,1204,100<=x<500,1<=x<4,4,male single,none,1,no known property,35,bank,rent,1,skilled,1,none,no,good
249,x>=200,24,existing paid,furniture/equipment,1925,x<100,1<=x<4,2,male single,none,2,real estate,26,none,own,1,skilled,1,none,yes,good
250,no checking,18,existing paid,radio/tv,433,x<100,unemployed,3,female div/dep/mar,co applicant,4,real estate,22,none,rent,1,skilled,1,none,yes,bad
251,x<0,6,critical/other existing credit,new car,666,x>=1000,4<=x<7,3,female div/dep/mar,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,good
252,x>=200,12,existing paid,furniture/equipment,2251,x<100,1<=x<4,1,female div/dep/mar,none,2,car,46,none,own,1,unskilled resident,1,none,yes,good
253,0<=x<200,30,existing paid,new car,2150,x<100,1<=x<4,4,female div/dep/mar,guarantor,2,no known property,24,bank,own,1,skilled,1,none,yes,bad
254,no checking,24,delayed previously,furniture/equipment,4151,100<=x<500,1<=x<4,2,male single,none,3,life insurance,35,none,own,2,skilled,1,none,yes,good
255,0<=x<200,9,existing paid,furniture/equipment,2030,no known savings,4<=x<7,2,male single,none,1,car,24,none,own,1,skilled,1,yes,yes,good
256,0<=x<200,60,delayed previously,radio/tv,7418,no known savings,1<=x<4,1,male single,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,good
257,no checking,24,critical/other existing credit,radio/tv,2684,x<100,1<=x<4,4,male single,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,good
258,x<0,12,all paid,radio/tv,2149,x<100,1<=x<4,4,male div/sep,none,1,no known property,29,none,for free,1,skilled,1,none,yes,bad
259,no checking,15,existing paid,used car,3812,100<=x<500,x<1,1,female div/dep/mar,none,4,car,23,none,own,1,skilled,1,yes,yes,good
260,no checking,11,critical/other existing credit,radio/tv,1154,100<=x<500,unemployed,4,female div/dep/mar,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,good
261,x<0,12,existing paid,furniture/equipment,1657,x<100,1<=x<4,2,male single,none,2,real estate,27,none,own,1,skilled,1,none,yes,good
262,x<0,24,existing paid,radio/tv,1603,x<100,x>=7,4,female div/dep/mar,none,4,car,55,none,own,1,skilled,1,none,yes,good
263,x<0,18,critical/other existing credit,new car,5302,x<100,x>=7,2,male single,none,4,no known property,36,none,for free,3,high qualif/self emp/mgmt,1,yes,yes,good
264,no checking,12,critical/other existing credit,education,2748,x<100,x>=7,2,female div/dep/mar,none,4,no known property,57,bank,for free,3,unskilled resident,1,none,yes,good
265,no checking,10,critical/other existing credit,new car,1231,x<100,x>=7,3,male single,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,good
266,0<=x<200,15,existing paid,radio/tv,802,x<100,x>=7,4,male single,none,3,car,37,none,own,1,skilled,2,none,yes,bad
267,no checking,36,critical/other existing credit,business,6304,no known savings,x>=7,4,male single,none,4,real estate,36,none,own,2,skilled,1,none,yes,good
268,no checking,24,existing paid,radio/tv,1533,x<100,x<1,4,female div/dep/mar,none,3,car,38,stores,own,1,skilled,1,yes,yes,good
269,x<0,14,existing paid,new car,8978,x<100,x>=7,1,male div/sep,none,4,life insurance,45,none,own,1,high qualif/self emp/mgmt,1,yes,no,bad
270,no checking,24,existing paid,radio/tv,999,no known savings,x>=7,4,male single,none,2,car,25,none,own,2,skilled,1,none,yes,good
271,no checking,18,existing paid,new car,2662,no known savings,4<=x<7,4,male single,none,3,life insurance,32,none,own,1,skilled,1,none,no,good
272,no checking,12,critical/other existing credit,furniture/equipment,1402,500<=x<1000,4<=x<7,3,female div/dep/mar,none,4,car,37,none,rent,1,skilled,1,yes,yes,good
273,0<=x<200,48,all paid,new car,12169,no known savings,unemployed,4,male single,co applicant,4,no known property,36,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
274,0<=x<200,48,existing paid,radio/tv,3060,x<100,4<=x<7,4,male single,none,4,real estate,28,none,own,2,skilled,1,none,yes,bad
275,x<0,30,existing paid,repairs,11998,x<100,x<1,1,male div/sep,none,1,no known property,34,none,own,1,unskilled resident,1,yes,yes,bad
276,no checking,9,existing paid,radio/tv,2697,x<100,1<=x<4,1,male single,none,2,real estate,32,none,own,1,skilled,2,none,yes,good
277,no checking,18,critical/other existing credit,radio/tv,2404,x<100,1<=x<4,2,female div/dep/mar,none,2,car,26,none,own,2,skilled,1,none,yes,good
278,x<0,12,existing paid,furniture/equipment,1262,no known savings,x>=7,2,male div/sep,none,4,life insurance,49,none,own,1,unskilled resident,1,yes,yes,good
279,no checking,6,existing paid,furniture/equipment,4611,x<100,x<1,1,female div/dep/mar,none,4,life insurance,32,none,own,1,skilled,1,none,yes,bad
280,no checking,24,existing paid,radio/tv,1901,100<=x<500,1<=x<4,4,male single,none,4,car,29,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,good
281,no checking,15,critical/other existing credit,used car,3368,x>=1000,x>=7,3,male single,none,4,no known property,23,none,rent,2,skilled,1,yes,yes,good
282,no checking,12,existing paid,furniture/equipment,1574,x<100,1<=x<4,4,male single,none,2,real estate,50,none,own,1,skilled,1,none,yes,good
283,x>=200,18,all paid,radio/tv,1445,no known savings,4<=x<7,4,male single,none,4,car,49,bank,own,1,unskilled resident,1,none,yes,good
284,no checking,15,critical/other existing credit,furniture/equipment,1520,no known savings,x>=7,4,male single,none,4,life insurance,63,none,own,1,skilled,1,none,yes,good
285,0<=x<200,24,critical/other existing credit,new car,3878,100<=x<500,x<1,4,male div/sep,none,2,car,37,none,own,1,skilled,1,yes,yes,good
286,x<0,47,existing paid,new car,10722,x<100,x<1,1,female div/dep/mar,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,good
287,x<0,48,existing paid,used car,4788,x<100,4<=x<7,4,male single,none,3,life insurance,26,none,own,1,skilled,2,none,yes,good
288,0<=x<200,48,delayed previously,other,7582,100<=x<500,unemployed,2,male single,none,4,no known property,31,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
289,0<=x<200,12,existing paid,radio/tv,1092,x<100,1<=x<4,4,female div/dep/mar,guarantor,4,real estate,49,none,own,2,skilled,1,yes,yes,good
290,x<0,24,delayed previously,radio/tv,1024,x<100,x<1,4,male mar/wid,none,4,real estate,48,stores,own,1,skilled,1,none,yes,bad
291,no checking,12,existing paid,business,1076,x<100,1<=x<4,2,male mar/wid,none,2,real estate,26,none,own,1,skilled,1,yes,no,good
292,0<=x<200,36,existing paid,used car,9398,x<100,x<1,1,male mar/wid,none,4,car,28,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
293,x<0,24,critical/other existing credit,used car,6419,x<100,x>=7,2,female div/dep/mar,none,4,no known property,44,none,for free,2,high qualif/self emp/mgmt,2,yes,yes,good
294,x>=200,42,critical/other existing credit,used car,4796,x<100,x>=7,4,male single,none,4,no known property,56,none,for free,1,skilled,1,none,yes,good
295,no checking,48,critical/other existing credit,business,7629,no known savings,x>=7,4,male div/sep,none,2,car,46,bank,own,2,high qualif/self emp/mgmt,2,none,yes,good
296,0<=x<200,48,existing paid,furniture/equipment,9960,x<100,x<1,1,female div/dep/mar,none,2,car,26,none,own,1,skilled,1,yes,yes,bad
297,no checking,12,existing paid,used car,4675,no known savings,x<1,1,female div/dep/mar,none,4,car,20,none,rent,1,skilled,1,none,yes,good
298,no checking,10,existing paid,new car,1287,no known savings,x>=7,4,male single,co applicant,2,life insurance,45,none,own,1,unskilled resident,1,none,no,good
299,no checking,18,existing paid,furniture/equipment,2515,x<100,1<=x<4,3,male single,none,4,real estate,43,none,own,1,skilled,1,yes,yes,good
300,0<=x<200,21,critical/other existing credit,furniture/equipment,2745,x>=1000,4<=x<7,3,male single,none,2,car,32,none,own,2,skilled,1,yes,yes,good
301,no checking,6,existing paid,new car,672,x<100,unemployed,1,female div/dep/mar,none,4,real estate,54,none,own,1,unemp/unskilled non res,1,yes,yes,good
302,0<=x<200,36,no credits/all paid,radio/tv,3804,x<100,1<=x<4,4,female div/dep/mar,none,1,car,42,none,own,1,skilled,1,yes,yes,bad
303,x>=200,24,critical/other existing credit,new car,1344,no known savings,4<=x<7,4,male single,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,bad
304,x<0,10,critical/other existing credit,new car,1038,x<100,4<=x<7,4,male single,co applicant,3,life insurance,49,none,own,2,skilled,1,yes,yes,good
305,no checking,48,critical/other existing credit,new car,10127,500<=x<1000,1<=x<4,2,male single,none,2,no known property,44,bank,for free,1,skilled,1,none,yes,bad
306,no checking,6,existing paid,furniture/equipment,1543,x>=1000,1<=x<4,4,male div/sep,none,2,real estate,33,none,own,1,skilled,1,none,yes,good
307,no checking,30,existing paid,used car,4811,no known savings,4<=x<7,2,female div/dep/mar,none,4,life insurance,24,stores,rent,1,unskilled resident,1,none,yes,good
308,x<0,12,existing paid,radio/tv,727,100<=x<500,x<1,4,male mar/wid,none,3,no known property,33,none,own,1,unskilled resident,1,yes,yes,bad
309,0<=x<200,8,existing paid,furniture/equipment,1237,x<100,1<=x<4,3,female div/dep/mar,none,4,real estate,24,none,own,1,skilled,1,none,yes,bad
310,0<=x<200,9,existing paid,new car,276,x<100,1<=x<4,4,male mar/wid,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes,good
311,0<=x<200,48,existing paid,other,5381,no known savings,unemployed,3,male single,none,4,no known property,40,bank,for free,1,unemp/unskilled non res,1,yes,yes,good
312,no checking,24,existing paid,furniture/equipment,5511,100<=x<500,1<=x<4,4,male single,none,1,car,25,stores,own,1,skilled,1,none,yes,good
313,x>=200,24,existing paid,furniture/equipment,3749,x<100,x<1,2,female div/dep/mar,none,4,car,26,none,own,1,skilled,1,none,yes,good
314,0<=x<200,12,existing paid,new car,685,x<100,4<=x<7,2,male mar/wid,none,3,car,25,bank,own,1,unskilled resident,1,none,yes,bad
315,x>=200,4,existing paid,new car,1494,no known savings,x<1,1,male single,none,2,real estate,29,none,own,1,unskilled resident,2,none,no,good
316,x<0,36,all paid,furniture/equipment,2746,x<100,x>=7,4,male single,none,4,car,31,bank,own,1,skilled,1,none,yes,bad
317,x<0,12,existing paid,furniture/equipment,708,x<100,1<=x<4,2,male single,guarantor,3,life insurance,38,none,own,1,unskilled resident,2,none,yes,good
318,0<=x<200,24,existing paid,furniture/equipment,4351,no known savings,1<=x<4,1,female div/dep/mar,none,4,life insurance,48,none,own,1,unskilled resident,1,yes,yes,good
319,no checking,12,critical/other existing credit,education,701,x<100,1<=x<4,4,male single,none,2,car,32,none,own,2,skilled,1,none,yes,good
320,x<0,15,delayed previously,furniture/equipment,3643,x<100,x>=7,1,female div/dep/mar,none,4,life insurance,27,none,own,2,unskilled resident,1,none,yes,good
321,0<=x<200,30,critical/other existing credit,new car,4249,x<100,unemployed,4,male mar/wid,none,2,car,28,none,own,2,high qualif/self emp/mgmt,1,none,yes,bad
322,x<0,24,existing paid,radio/tv,1938,x<100,x<1,4,male div/sep,none,3,life insurance,32,none,own,1,skilled,1,none,yes,bad
323,x<0,24,existing paid,used car,2910,x<100,4<=x<7,2,male single,none,1,no known property,34,none,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
324,x<0,18,existing paid,furniture/equipment,2659,x>=1000,1<=x<4,4,male single,none,2,car,28,none,own,1,skilled,1,none,yes,good
325,no checking,18,critical/other existing credit,new car,1028,x<100,1<=x<4,4,female div/dep/mar,none,3,real estate,36,none,own,2,skilled,1,none,yes,good
326,x<0,8,critical/other existing credit,new car,3398,x<100,4<=x<7,1,male single,none,4,real estate,39,none,own,2,unskilled resident,1,none,no,good
327,no checking,12,critical/other existing credit,furniture/equipment,5801,no known savings,x>=7,2,male single,none,4,life insurance,49,none,rent,1,skilled,1,yes,yes,good
328,no checking,24,existing paid,new car,1525,x>=1000,4<=x<7,4,female div/dep/mar,none,3,car,34,none,own,1,skilled,2,yes,yes,good
329,x>=200,36,existing paid,radio/tv,4473,x<100,x>=7,4,male single,none,2,car,31,none,own,1,skilled,1,none,yes,good
330,0<=x<200,6,existing paid,radio/tv,1068,x<100,x>=7,4,male single,none,4,car,28,none,own,1,skilled,2,none,yes,good
331,x<0,24,critical/other existing credit,used car,6615,x<100,unemployed,2,male single,none,4,no known property,75,none,for free,2,high qualif/self emp/mgmt,1,yes,yes,good
332,no checking,18,critical/other existing credit,education,1864,100<=x<500,1<=x<4,4,female div/dep/mar,none,2,real estate,30,none,own,2,skilled,1,none,yes,bad
333,0<=x<200,60,existing paid,new car,7408,100<=x<500,x<1,4,female div/dep/mar,none,2,life insurance,24,none,own,1,high qualif/self emp/mgmt,1,none,yes,bad
334,no checking,48,critical/other existing credit,used car,11590,100<=x<500,1<=x<4,2,female div/dep/mar,none,4,car,24,bank,rent,2,unskilled resident,1,none,yes,bad
335,x<0,24,no credits/all paid,furniture/equipment,4110,x<100,x>=7,3,male single,none,4,no known property,23,bank,rent,2,skilled,2,none,yes,bad
336,x<0,6,critical/other existing credit,furniture/equipment,3384,x<100,1<=x<4,1,male div/sep,none,4,real estate,44,none,rent,1,high qualif/self emp/mgmt,1,yes,yes,bad
337,0<=x<200,13,existing paid,radio/tv,2101,x<100,x<1,2,female div/dep/mar,guarantor,4,life insurance,23,none,own,1,unskilled resident,1,none,yes,good
338,x<0,15,existing paid,domestic appliance,1275,no known savings,1<=x<4,4,female div/dep/mar,none,2,car,24,none,rent,1,skilled,1,none,yes,bad
339,x<0,24,existing paid,furniture/equipment,4169,x<100,1<=x<4,4,male single,none,4,life insurance,28,none,own,1,skilled,1,none,yes,good
340,0<=x<200,10,existing paid,furniture/equipment,1521,x<100,1<=x<4,4,male div/sep,none,2,car,31,none,own,1,unskilled resident,1,none,yes,good
341,0<=x<200,24,critical/other existing credit,education,5743,x<100,x<1,2,female div/dep/mar,none,4,no known property,24,none,for free,2,skilled,1,yes,yes,good
342,x<0,21,existing paid,furniture/equipment,3599,x<100,4<=x<7,1,female div/dep/mar,none,4,car,26,none,rent,1,unskilled resident,1,none,yes,good
343,0<=x<200,18,existing paid,radio/tv,3213,500<=x<1000,x<1,1,male mar/wid,none,3,real estate,25,none,rent,1,skilled,1,none,yes,good
344,0<=x<200,18,existing paid,business,4439,x<100,x>=7,1,male single,co applicant,1,real estate,33,bank,own,1,high qualif/self emp/mgmt,1,yes,yes,good
345,x>=200,10,existing paid,new car,3949,x<100,x<1,1,male single,guarantor,1,life insurance,37,none,own,1,unskilled resident,2,none,yes,good
346,no checking,15,critical/other existing credit,radio/tv,1459,x<100,1<=x<4,4,female div/dep/mar,none,2,car,43,none,own,1,unskilled resident,1,none,yes,good
347,0<=x<200,13,critical/other existing credit,radio/tv,882,x<100,x<1,4,male single,guarantor,4,real estate,23,none,own,2,skilled,1,none,yes,good
348,0<=x<200,24,existing paid,radio/tv,3758,500<=x<1000,unemployed,1,female div/dep/mar,none,4,no known property,23,none,rent,1,unemp/unskilled non res,1,none,yes,good
349,no checking,6,delayed previously,business,1743,100<=x<500,1<=x<4,1,male single,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes,good
350,0<=x<200,9,critical/other existing credit,education,1136,x>=1000,x>=7,4,male single,none,3,no known property,32,none,for free,2,skilled,2,none,yes,bad
351,no checking,9,existing paid,domestic appliance,1236,x<100,x<1,1,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,yes,yes,good
352,0<=x<200,9,existing paid,furniture/equipment,959,x<100,1<=x<4,1,female div/dep/mar,none,2,car,29,none,own,1,skilled,1,none,no,bad
353,no checking,18,critical/other existing credit,used car,3229,no known savings,unemployed,2,male single,none,4,no known property,38,none,own,1,high qualif/self emp/mgmt,1,yes,yes,good
354,x<0,12,no credits/all paid,radio/tv,6199,x<100,1<=x<4,4,male single,none,2,life insurance,28,none,rent,2,skilled,1,yes,yes,bad
355,no checking,10,existing paid,education,727,500<=x<1000,x>=7,4,male single,none,4,no known property,46,none,for free,1,skilled,1,yes,yes,good
356,0<=x<200,24,existing paid,new car,1246,x<100,x<1,4,male single,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,bad
357,no checking,12,critical/other existing credit,radio/tv,2331,no known savings,x>=7,1,male single,co applicant,4,real estate,49,none,own,1,skilled,1,yes,yes,good
358,no checking,36,delayed previously,radio/tv,4463,x<100,1<=x<4,4,male single,none,2,car,26,none,own,2,high qualif/self emp/mgmt,1,yes,yes,bad
359,no checking,12,existing paid,radio/tv,776,x<100,1<=x<4,4,male mar/wid,none,2,real estate,28,none,own,1,skilled,1,none,yes,good
360,x<0,30,existing paid,furniture/equipment,2406,x<100,4<=x<7,4,female div/dep/mar,none,4,real estate,23,none,rent,1,skilled,1,none,yes,bad
361,0<=x<200,18,existing paid,education,1239,no known savings,1<=x<4,4,male single,none,4,no known property,61,none,for free,1,skilled,1,none,yes,good
362,x>=200,12,existing paid,radio/tv,3399,no known savings,x>=7,2,male single,none,3,car,37,none,own,1,high qualif/self emp/mgmt,1,none,yes,good
363,x>=200,12,delayed previously,new car,2247,x<100,1<=x<4,2,female div/dep/mar,none,2,car,36,stores,own,2,skilled,1,yes,yes,good
364,no checking,6,existing paid,furniture/equipment,1766,x<100,1<=x<4,1,male mar/wid,none,2,life insurance,21,none,rent,1,skilled,1,none,yes,good
365,x<0,18,existing paid,furniture/equipment,2473,x<100,unemployed,4,male single,none,1,car,25,none,own,1,unemp/unskilled non res,1,none,yes,bad
366,no checking,12,existing paid,business,1542,x<100,4<=x<7,2,male single,none,4,car,36,none,own,1,skilled,1,yes,yes,good
367,no checking,18,critical/other existing credit,used car,3850,x<100,4<=x<7,3,male single,none,1,car,27,none,own,2,skilled,1,none,yes,good
368,x<0,18,existing paid,furniture/equipment,3650,x<100,x<1,1,female div/dep/mar,none,4,car,22,none,rent,1,skilled,1,none,yes,good
369,x<0,36,existing paid,furniture/equipment,3446,x<100,x>=7,4,male single,none,2,car,42,none,own,1,skilled,2,none,yes,bad
370,0<=x<200,18,existing paid,furniture/equipment,3001,x<100,4<=x<7,2,female div/dep/mar,none,4,real estate,40,none,rent,1,skilled,1,none,yes,good
371,no checking,36,existing paid,new car,3079,no known savings,1<=x<4,4,male single,none,4,real estate,36,none,own,1,skilled,1,none,yes,good
372,no checking,18,critical/other existing credit,radio/tv,6070,x<100,x>=7,3,male single,none,4,car,33,none,own,2,skilled,1,yes,yes,good
373,no checking,10,critical/other existing credit,furniture/equipment,2146,x<100,x<1,1,female div/dep/mar,none,3,real estate,23,none,rent,2,skilled,1,none,yes,good
374,no checking,60,critical/other existing credit,new car,13756,no known savings,x>=7,2,male single,none,4,no known property,63,bank,for free,1,high qualif/self emp/mgmt,1,yes,yes,good
375,0<=x<200,60,all paid,other,14782,100<=x<500,x>=7,3,female div/dep/mar,none,4,no known property,60,bank,for free,2,high qualif/self emp/mgmt,1,yes,yes,bad
376,x<0,48,all paid,business,7685,x<100,4<=x<7,2,female div/dep/mar,guarantor,4,car,37,none,rent,1,skilled,1,none,yes,bad
377,no checking,18,delayed previously,radio/tv,2320,x<100,unemployed,2,male mar/wid,none,3,real estate,34,none,own,2,skilled,1,none,yes,good
378,no checking,7,delayed previously,radio/tv,846,no known savings,x>=7,3,male single,none,4,no known property,36,none,for free,1,skilled,1,none,yes,good
